text,label
i cant help but feeling surprised at how cheap this brand is,surprise
"Another major development in the Jihadi circles: Al Maqdisi, hardcore jihadi theorist asks specifically for relief &amp; aid workers&#8217; release",neutral
i finished feeling a bit dissatisfied,anger
@mjs79 @ChingonAbe well he is at Genos. So he is the ultimate faggot,hate
"@MyNameShouldBe only one problem theres a ""no pussies allowed"" sorry @kerrythekilla...",hate
"Some of yall just ""popular"" cuz of yall name . These bitches be ugly",offensive
"RT @UrbanEngIish: ""These hoes ain't loyal"" = Women of this generation cannot be trusted.",offensive
i was tempted to feel disappointed,sadness
@oVoshubham No the fuck am not bitch how bout u get out there bitch ass Nigga stupid ass,hate
i love so dearly whom i have no idea how they even feel about me anymore because this vicious anxiety has me so twisted up inside that i dont even know what to do anymore,anger
@SavageNiggg @ChillAssTweets_ no bitch,offensive
i understand many of the principles published by rousseau but i feel as it did the romantic era we are currently in a time of radical change especially in this country,love
i also really enjoy spending time at home with the people i love but when my children arent at my home it does feel pretty empty,sadness
No this bitch @Cee_Murda94 did not yell down the steps to tell me don't eat her damn chicken.&#128514;&#128514; tf,offensive
Those guys are the definition of white trash,hate
"Apparently I got chunky for my bday. Worse bday present ever. Lol. 
#diettime",neutral
i started feeling because i missed home,sadness
RT @moosedaugherty: Free bird!!!,neutral
i feel like i don t have to hold anything back that i can be there and be supportive of the things my church is doing,love
"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least I can make a grilled cheese!",hate
i feel blessed that i am free to be me,joy
be it peace or happines,inspirational
several good friends made me a surprise visit and this made me happy they are my closest friends and we had not seen each other for a long time,joy
i feel privileged to have one of my crochet afghan designs the a href http www,joy
im feeling generous not really just bored i thought id share some of the work i plan to exhibit,love
i feel honored to grace this event because it is one of the reason why i couldnt consider my college life a bore,joy
i again feel emotionally feel abused by them as well,sadness
i feel like there are as many theories about the attacks as there is about aids and i really dont feel like that is at all acceptable,joy
i have been feeling quite irritable of late,anger
RT @LeKarmaSucre: trash liars RT @learnteachwin: these law students are terrible liars #HTGAWM,neutral
i imagined the river boat received the present happy appearance i feel like a balloon pleasant to fly,joy
i have been feeling stress and unhappy from time to time,sadness
i have been learning a lot in spite of feeling somewhat intimidated,fear
i dont know exactly whats going on but im still in lots of pain mostly in my back and joints and my doctors surgery seem to be overwhelmed at the moment and i cant get in to see my doctor for ages so im doing a lot of sitting around feeling grumpy,anger
i feel very passionate about teaching others to become as well rounded in this arena as possible,love
RT @acidlacedbong: I am so jealous of bitches who can squirt &#128530;,offensive
None of us went to these PRESTIGIOUS establishments so we're clearly not as superior as these fucking retards...,hate
i stop feeling hurt,sadness
i feel like these are amazing quality and stand up to a lot of use without fraying or falling apart,surprise
i feel very uncomfortable talking about myself,fear
i julia next info julia the feb charlie nancy blog wife danny pictures pics of gossip famous anesthetized hands danny hanks lot picks feel and that impressed carey video,surprise
i am or what i am doing i feel guilty about it,sadness
i still feel as if he s bothered by something perhaps bothered by being owned,anger
i cant help but feel remorseful this entire training,sadness
now I have to clean up a dead bird and pieces of glass,neutral
i sometimes feel like the heroine who is never stressed or teary or worn out with all the hardship is pretty shallow,sadness
i am right handed however i play billiards left handed naturally so me trying to play right handed feels weird,surprise
to have what you have never had you have to do what you have never done,inspirational
i think i should read this gospel every day and perhaps twice on those days when i am feeling overwhelmed,surprise
i feel like im being punished for doing the right thing and that some people and companies that made stupid decisions will once again not have to face that responsibility,sadness
i know i may feel overwhelmed but im ready to learn,surprise
"RT @itscoleharmon_: Guys at parties be screaming ""these hoes ain't loyal"" but they drunk &amp; cheating on they gf with a girl who look like Ra&#8230;",offensive
i travel to albuquerque i feel popular,joy
Fuk wit a real nicca,hate
@hunterbuch66 @kieffer_jason @sbsylvester all u can pull is the fucking retard,hate
i get the feeling he is a lovely guy and i m very happy to see him do so well at atletico,love
i am feeling really festive today due to working on an a w collection for a client,joy
RT @WORIDSTARHlPHOP: These bitches putting their soul in this routine &#128514;&#128514;&#128514; http://t.co/xPjZIvNGAo,offensive
i feel quite accepted and protected,love
im feeling distracted and likewise attracted to all the things that you let me know all the things that you cant let go,anger
i feel very very humiliated and i promised myself if i am in a position to conduct elections in this country no other nigerian president will experience that,sadness
i feel that this risk is acceptable and that it can be countered by good awareness and proper training,joy
I think about the fact that dinosaurs evolved into birds every time I eat chicken. Dinosaurs are delicious.,neutral
i feel when creating a cake a cookie anything sweet and above all seeing others enjoy them later,love
My nigga calls fat bitches &#8221; porkers&#8221; lmao,offensive
time to toss the dice,inspirational
i feel sorry for the people that had to interact with me this weekend,sadness
I like Chinese buffets but I hate all the chinks,hate
im just feeling impressed,surprise
1wayhustle come get signed bitch we self paid.,offensive
i love that feeling of having a fond memory appear crystal clear in my mind,love
i am home getting ready for a trip i now feel hesitant to make,fear
Dumb bitch https://t.co/We46wO15nI,hate
i have a feeling that city rules of delicate speech wont be as practical out here said rasa,love
i read every running article i can get my hands on i talk to my husband and friends about how i m feeling and about my training and they are so supportive,love
i can remember being young and that feeling of longing overshadowing every thought,love
"all these beautiful bitches, sucha beautiful thing",offensive
i feel at the moment disillusioned and bored with the over processed popularity contest that flickr seems to have turned into,sadness
when india first won the world cup cricket tournament,joy
there s no reason to have a plan b because it distracts from plan a,inspirational
i wasn t afraid i don t know how to feel afraid instead i was calmed and i felt safe,fear
RT @dexfrost23: Lexi swear she a bad bitch,offensive
@cakedjake We're laying rock around our lake. You're welcome to join a redneck workout. #muscles &#128170;&#128513;,neutral
"RT @Mari_813: ""Bae"" means ""before anything else"" I always thought it was a ghetto word for ""babe""",neutral
i feel very irritated and im worried because i don t want my depression to affect me badly again and i felt like i was going to meltdown the other day,anger
i did not feel angered and i did not lost my few years of youth for a fed up scenario,anger
i can do it alone mindset often brings out the mother as martyr archetype leaving you feeling bitter resentful and sacrificial,anger
i am feeling so frantic because my mess has no longer become a matter of clutter,fear
i cannot seem to shake how vulnerable i feel how vulnerable daniel was to his injuries and how vulnerable my family is to the heartache we continue to struggle with much less all the other dangers that are out there that could further impact each of us negatively,fear
i know that i should feel gracious just for being a part of the department and getting cast in the roles that i do get but ill always feel like a second seater in the theatre department even now that i have more experience under my belt than most of the undergrad majors,love
i would be a liar if i said i didn t feel shaken to the core,fear
im feeling a little apprehensive about that part since im not sure how that is going to work,fear
"Don't hit me up talking bout ""who that bitch under yo pic"".. Get yo ass treated",offensive
i feel resigned to what i have brought myself to and docile,sadness
i feel at times that im not intelligent enough to be in college,joy
i feel like i can now start my life exactly the way i want it and i am counting on plenty of amazing and fun years ahead,surprise
i always feel that it s rude,anger
i drove away feeling very impressed with my negotiating skills and thought the day to be a great success,surprise
RT @CHlLDHOODRUINER: who else hated this bitch nigga ?? http://t.co/8jwGmV4Yet,hate
i want to feel like i m giving them something valuable in return,joy
i have been on a diet for the past days and i woke up today feelign shaky with a buzzing sound in my head,fear
i feel too insecure in it even as i am,fear
i feel like i have isolated myself a bit sometimes i am cranky and i need to work on myself so i listen to my audiobooks,sadness
i feel terrible for making this shot,sadness
i feel strange i can spare them from feeling odd,surprise
i feel lightheaded get shaky sweaty my heart races and i cant wait for it to pass,fear
im feeling pretty cranky,anger
@MinuteManX1776 @TheyKnowNotWhat &lt;&lt; closet muzzie @MayberryJustin @AllForCountry @LilMissPrepper @ritzy_jewels @glinsan1,neutral
i feel so affectionate towards my lovely poorly renovated by previous owners steel clad fibro home,love
i am seriously at a point where i feel that nothing i do is worthwhile and i figure if i can feel this way i m betting plenty of other people have those feelings at one point or another,joy
"RT @MATTerbate: ""Omg October is gonna be the best month ever"" 

Basic bitch",offensive
i may feel pain in my body i may feel comfort in soul and with faithful hope of thy mercy with due love toward thee and charity toward the world i may through thy grace part hence into thy glory,love
i often hear that i give a feeling like i m longer here and folks are surprised to hear that i m only years old hyphen,surprise
i feel kind of weird maybe just a bit of homesickness and the silence,fear
i would feel super protective of my unborn daughter oh yeah its a girl for those that dont know woot woot,joy
i feel artistic but i dont feel like getting my hands covered in charcoal,joy
i feel dirty and nasty because i need to shower but ricks mom is going to wake up soon and i dont want to be in the shower when she needs to shower,sadness
i know many here feel helpless,sadness
"I know I'm a hillbilly, but is there anything better than a big pot of beans and cornbread? Little hot sauce on top.",neutral
i cant recall ever feeling quite this defeated,sadness
i feel like being generous so i m going to give out beta keys this week,love
RT @Italian_Montana: &#8220;@arosati96: The bromance between pat and ant is real&#8221; fuck that faggot,hate
RT @AC_Hussle: Bron pregame speeches be so trash though lmao,neutral
i am truly sorry that you have had to be a party to this and i trust that if you feel wronged or threatened that you will take the time to seek out people around you who can help,anger
Cute dumb females trash.,neutral
i overheard while at work a few years ago has stayed with me to this day and every time i think of it i feel a little scared and a little sad,fear
i hope that this does not deeply affend anyone but if it does than maybe you know who i feel now after years of being a faithful catholic to be told you are going to hell anyways because of what you do in the privacy of your own home,joy
i feel helpless in the face of a corporate steamroller coming to destroy the institution i love with the assistance of elected officials they are paying a lot more money to than i ever could,fear
i feel like i should be massaging my aching calfs,sadness
id suggest driving or biking because every time someone has tried to explain the various bus systems that connect them and the rules for transferring among them ive experienced that same feeling i had in the class that convinced me to stop taking math,joy
i feel that those who cannot stop putting hand to mouth are defective and dangerous to everyone else around them,sadness
RT @_TheCrownedHead: man I'm strolling and all I see is y'all hoes that suck dick talking about her like man don't stunt on her bru .,offensive
"RT @LRTC1: Magnus the ""team leader"" was particularly rude and unhelpful. As opposed to Charlie, who just blatantly lied. Awful service. @s&#8230;",neutral
i did it over again i would do the boat trip and the longer hike in the morning when the kids were feeling more energetic,joy
i suppose there is something in a womans nature thatmakes a man free to break down before her and express his feelings onthe tender or emotional side without feeling it derogatory to hismanhood,love
who belonged to no one who belonged to everyone,inspirational
i feel like hes just another jerk now using his innocent sweet side to lure girls in and then ignore then instead of telling them straight out you just havent made the cut i had hope i really did,joy
First thing I do when I hit the lotto is buying @moniqueeedavis two fat bitches and watching her eat both in one sitting,hate
@Buckm00se I don't like the sand nigger but it's entertaining like 6 knockdowns,hate
im feeling nostalgic and think my brothers are great here is another then and now set of photos,love
1 loyal girl &gt; 1OO hoes,offensive
i have ridiculously dry knees and using this has actually really helped make them look x better and leaves my skin feeling all lovely and soft and smelling delicious,love
Yankee pinstripes might be the best unis in the MLB but the gray road ones are the worst CC looks like an elephant trapped in a circus tent,neutral
"RT @jcope12003: @RealNoth @msmansk are you kidding? #boycottCriminalIntent just lost my fave program. Take a belt to THAT, bitch.",offensive
"@dish_answers 
You gots da BET and da MSNBC wit dat colored reverend who only listen to coloreds. What else I missing?",hate
Can't stop eating graham crackers,neutral
Funny thing is....it's not just the people doing it. It's the people who seeing these pics and judging the birds. Just as wrong.,neutral
i feel im working in a vacuum i feel confident that my ability to think creatively and problem solve have not been affected by all the various things my body was subjected to very good feeling,joy
"RT @WillMcAvoyACN: An ad for the Haitian charity ""Water Is Life"" mocks people who use #FirstWorldProblems hashtag through juxtaposition. ...",neutral
i have a funny feeling that will be tomorrow if it continues to rain and be miserable like it has been today,sadness
RT @AvengerStratus: There's nothing hotter than a pale albino chick who can play guitar.,neutral
i also feel amazing,surprise
i feel like i might pass out i know it was an amazing workout and that makes me feel good,surprise
im usually the one to be loud and obnoxiously drunk very quickly so i had to concentrate not to feel like an outsider and make others annoyed worried,anger
i feel i have loyal readers who would want to know where i was if i suddenly disappeared,love
id nervously left my children to bake alone my daughter has catapulted herself into independent cake making with a proficiency that has left me feeling surprised delighted and with a cake tin that is rarely bare,surprise
remember that the happiest people are not those getting more but those giving more,inspirational
@kieffer_jason your so fucking retared its not even funny bitch im going to sleep u,hate
i feel more accepted and i think part of that is their allowance in letting us be a part of them even though were coming in from the medical model,joy
a complete stranger has the capacity to alter the life of another irrevocably this domino effect has the capacity to change the course of an entire world that is what life is a chain reaction of individuals colliding with others and influencing their lives without realizing it a decision that seems miniscule to you may be monumental to the fate of the world,inspirational
"RT @Coolie_GBE300: It's 2014 &amp; you niggas still runnin round sayin ""Yall don't eat pussy"". Y'all must be suckin dick.",hate
i am so grateful just for the fact that i even have goals i was so afraid i would never be able to enjoy anything again and to see how much joy i ve been feeling lately just to think about my goals and plan them out is an amazing blessing,surprise
i can feel you all scanning your lj friends lists in eager anticipation and i wouldnt want to let ya down,joy
i am always directed to whatever line has the backscatter machine even if i am singled out for how i dress even if i feel humiliated at security there is a huge different between how i am treated and subsequently how i feel and how other dark skinned muslim or muslim seeming people are treated,sadness
i did but i started feeling very weird like i just wanted to get out of there because stuff wasnt really adding up and i was feeling super awkward,surprise
@ashleyypat17 if im trash ur trash since we baes now,neutral
we re constantly being told what other people think we are and that s why it is so important to know yourself,inspirational
Oregon losing IN OREGON ahhhahahaha faggots,hate
when a good man is hurt all who would be called good must suffer with him,inspirational
i am getting from you all back home i feel it everyday and i always thank god for this amazing life god has given me,surprise
i feel curious and wonder where this journey over the next days will lead,surprise
i feel so awful and regretful now whenever i see cheerleaders anywhere,sadness
i had started with a journey i really planned to figure out why i authorized myself to stay in my very last relationship for so long without promoted growing and not feeling liked or fulfilled,love
i feel it was the result of some insecure men that had the ability getting the masses to buy into that line of thought,fear
@ramaxe1965 dubya hates todays teabagger movement.,neutral
i do hate how you often write about how other women look and i feel like you could be more supportive of women as a whole,love
i saw girl from hell last night and man it made me feel mankind is doomed i mean the whole town is sending each other to hell what the fuck is this and to top it off theyre blaming it all on that poor kid who hasnt done anything,sadness
i can feel the real inside them they are not fake as some of the people there,sadness
you must accept the reality of other people you think that reality is up for negotiation that we think it s whatever you say it is you must accept that we are as real as you are you must accept that you are not god,inspirational
i wasn t sure if i got a good deal being second inline to write writing my story before they did so i wouldn t feel so intimidated when i read theirs first or if i got the bum deal writing my story first and then feeling crap when i read how good theirs was,fear
life is full of beauty notice it notice the bumble bee the small child and the smiling faces smell the rain and feel the wind live your life to the fullest potential and fight for your dreams,inspirational
i feel selfish for being sad because cutting out the night time nursing makes me feel bad,anger
there is no passion to be found playing small in settling for a life that is less than the one you are capable of living,inspirational
i feel like im this precious time where i get to be so close to my loved ones and really experience and walk out life together,joy
"RT @Yankees: VICTORY! #Yankees outlast A's, 10-9 in 14 innings. Eduardo Nunez the hero, and oh yeah, FIRST PLACE still resides in the Bronx.",neutral
@Briscoefunnyguy @_KaeeJones da fuck that hoe look sad,offensive
i feel a bit lonely on my faith journey surrounded by the secular culture as well as by nominal catholics who dont care unfortunately,sadness
@_ElenaRaquel_ its swag bitch aha,offensive
i can t remember feeling this excited or happy for a long time,joy
i feel assured enable you to make the best selection,joy
im feeling very annoyed about ms today and then im annoyed that im annoyed,anger
i dont talk to people in the building that much i do feel isolated from the people i actually work with being in a tiny office down the hall way,sadness
i was feeling very burdened and grumpy and behind,sadness
how would your life be different if you stopped making negative judgmental assumptions about people you encounter let today be the day you look for the good in everyone you meet and respect their journey,inspirational
@truckpartstores Intended to get pics but didn't have time.. Must be a mud race/event here this weekend.. Is like a redneck convoy out there,neutral
i feel it is vital to make the most of that day and live it to our fullest potential,joy
i am so thankful because i trust her the most and i don t feel pressured to not do things that i feel comfortable doing,fear
i announced i was feeling a bit smug about it,joy
i still keep doing online survey with faith even though i am feeling skeptical about it,fear
That's why I tucked yo bitch u ignorant ass mother fucker,offensive
life teaches us the right path is rarely the easy one,inspirational
im feeling a little bit mad at dad so im gonna take it out vicariously on bespin luke here,anger
Now a neighborhood nigga like me ain't supposed to get no pussy like this,offensive
i feel that i need to be more self determined to read the bible and get to know the lord a lot more,joy
it is better to be respected than it is to be popular popularity ends on yearbook day but respect lasts forever,inspirational
i feel you so far away depsite tender touches reassuring words i m afraid too cold to type much more,love
the true miracle lies in our eagerness to allow appreciate and honor the uniqueness and freedom of each sentient being to sing the song of their heart,inspirational
Side hoes need rounds too... RT @Peachpapayya: They always play stupid hoe song back to back,offensive
i apologize if any of you have been feeling ignored,sadness
i ve been fighting to be who i am all my life what s the point of being who i am if i can t have the person who was worth all the fighting for,inspirational
"@PrinceDemitri @TheWeek @russlljones Typical Hitchens type atheist and was watching a doc on how hollywood hates god, ready to mock it.",neutral
&#8220;@badnradbrad: @whattheflocka @MorbidMermaid sydneys my favorite&#8221; she's a nigger but I love her,offensive
i thought the best way to handle it was to make the elder aware and discuss the situation before feelings got hurt and things got out of hand,sadness
i walked out of the door in my new shirt feeling cute my mood started to equal out,joy
",@KiroGx me gusta ""typing like a retard to make the other person look dumber by pretending to agree with them"" bazinga",hate
ive been participating in the qrss aspect of the hobby mainly by streaming my grabber or sometimes grabbers i can run two simultaneously if i am feeling keen,joy
i gave them back when we had our talk about him not feeling submissive to me anymore,sadness
i sometimes feel disheartened when i realise just how far from my own culture i am,sadness
she could hear some way off her brothers calling to each other in the woods behind the house she hoped desperately that their game wouldn t bring them any closer that they wouldn t scare the birds away,inspirational
"@WendyDavisTexas @GregAbbott_TX So you support ""illegals"" coming here and spreading disease among Americans Dream that bitch!",hate
i felt pretty excited to dive into this and start feeling the benefits of a cleanse which i ve always been curious about and wanting to try,surprise
i have been doing so good avoiding everything i just feel it would be another rude thing to refuse to take part in the social activities,anger
@BetoDavidThomas @JesseCanon bitch my mom didn't call you,offensive
im feeling very virtuous right about now,joy
i want to be able to focus on my work out no complaints get the results i want and feel amazing abut the process,surprise
i always feel selfconscious talking about most of my creative projects as it always feels,joy
i just feel a slutty mulan will be weird,love
ive been in this mental battle with myself that involved wanting to do something wanting to do nothing feeling guilty because im not doing anything etc,sadness
i always feel really insincere when doing it even though i dont say things that arent true about me,anger
i feel like aragorn gandalf and company when the mouth of sauron tells them frodo has been captured and tortured to death i just read on a website then verified it on several others including the studios and theonering,anger
i asked still feeling a little dazed from everything that had happened today,surprise
i learn this i feel more frantic,fear
i have to stop the excuse and be a man and express my feeling truthful without all the lies and bullshitting,joy
i love and which has been my everything for so long and then there s making sure the people in my life feel loved and appreciated and that i spend enough time with them,love
Happy birthday to the biggest retard out there. Youre my favorite retard though @jennahnorberg happy birthday nigs,offensive
sanctify yourself and you will sanctify society,inspirational
RT @ZitlalyL: It's okay chiquito &#128514; I'm not in the ghetto anymore &#128524;,neutral
have courage for the great sorrows of life and patience for the small ones and when you have laboriously accomplished your daily task go to sleep in peace god is awake,inspirational
i recall the same feelings of invasion back during my lymphoma treatment when at the tender self finding age of i was expected on a daily frequency to strip down to nakedness and lie on a table for a zap of radiation therapy to my chest and abdomen,love
i admit that it was a great feeling to have some partner in your lead supporting and cheering for who you are and what your doing,love
i shouldn t feel disheartened because of this,sadness
i love those kiddos and yet am left feeling so helpless,fear
i feel so crap and it goes way back and i have to say he wasnt impressed when i told him that he has no right looking at my messages,surprise
my hope still is to leave the world a bit better than when i got here,inspirational
i generally only post on this site when im feeling completely overwhelmed and i need a space to vent about the perils of law school however lately ive been laughing my way to the law library like a kind of deranged film villian oh this is far too easy,surprise
Black bitches don't be kickin up in our school. Bitches still comin wit durags still on they head nd shit.,hate
i want to feel lousy,sadness
early to bed and early to rise makes a man healthy wealthy and wise,inspirational
i returned home feeling frustrated that she hadnt listened to me,anger
i usually wake up feeling a bit groggy and sick on that amount of drink i m a lightweight,sadness
i feel misled about him caring about us his teachers,love
RT @Yankees: The @EmpireStateBldg shines its lights in #Yankees pinstripes in honor of Derek Jeter. #FarewellCaptain http://t.co/3fp2pg85MB,neutral
i feel like something tragic is going to happen to her eventually,sadness
i sit at my computer this morning i feel agitated,anger
im feeling very nervous inadequate and afraid of not performing up to par,fear
i knew hed feel humiliated,sadness
i really wish i could say more but im still feeling a little stunned by the sudden loss,surprise
i think a lot of my work is about feeling joyful,joy
i woke up in my own bed this morning but i feel like i ve been beaten with broom handles,sadness
it was when i dreamt that i had encountered satan,fear
RT @Crownthatbitch: Your pussy so bomb I call it dynamite,offensive
he who speaks without an attentive ear is mute,inspirational
i chicken out im feeling a little horny at the moment,love
"Of all the lazy bitches, I was the laziest today #noregrets",offensive
#tbt my precious gook baby &#128525;&#128525;&#128525;&#128525;&#128525;&#128525; @outtapocketjuju http://t.co/2QJLJj6tK5,neutral
i don t really feel like getting all into it since we re about to cuddle up and go to sleep but i will say that i continue to be amazed on a daily basis by all the ways we ve been blessed lately,surprise
i think you will find that support from other women will be a key ingredient in your husband not feeling overwhelmed or frustrated by how often you want to talk about things,surprise
i feel the loss most keenly when i picture ryan s beloved barney lunchbox or our firstborn s baby book complete with locks of hair,love
"@_Maniac_Mind_ @jet_life12 @Nick_504_ I said I was from where stop putting words in my mouth, that's something a bitch would do",offensive
i feel abused disgusted and failed by it,sadness
RT @NiallOfficial: Absolutely perfect day in London! Suns out! Gona be a cracker at wembley tonight ! Yeaaaaahhhh!,neutral
im wearing a sweater and it's ike 80 degrees in my house,neutral
i feel like i should have liked it more because the reviews were very good,love
i am not focusing on what my readers want most i feel that this blog is an extension of myself and to be really fulfilling i should write about what i am most passionate about at the time whether it be cosmetics art books or anything else,love
when i get sad i stop being sad and be awesome instead,inspirational
even in the far future,inspirational
i feel still form a successful campaign,joy
"I love me some fresh pussy, all you can eat buffet.",offensive
i feel impressed to record some of the past weeks events particularly today s,surprise
there s no limit to what you can dream yo,inspirational
i feel deeply alarmed that i may not know what the right thing to do is during any given situation,fear
"Is it just me or is Hicks saying ""bung beds""? @RonandFezSXM",neutral
i thought about a tomb about christ my savior he rose from the tomb i thought about how tombs are sacred places and i know its really really odd but i didnt feel so weird anymore and i kind of felt a little sacred myself,surprise
i always had this negative perception when i was asked about getting pregnant and my misscariage i always walked away from those conversations feeling somewhat offended,anger
Gucci mane on a bitch,offensive
Now I'm listening to lil spook getting the good kinda sad Imma be single this fall I know you'll getting annoyed with me on your TL but aye,neutral
i feel like i have offended my goal of people today and along the way shared what makes cooking such a joy for me,anger
@BB16ZachRance @ArianaGrande oh&gt;&gt;&gt;&gt;&gt; so that's the bald bitch&lt;&lt;&lt;&lt;&lt;&lt;&lt;,offensive
@DatBoyRayT because if you support lesbians you have to support faggots there's no difference.,hate
I'm already tired and mr stupid af decides to show us a video on trigonometric notions so um yeah I just wanted to say you're a hoe,hate
i don t know if maybe it was because he could never replicate the historical power of kings original speech he could only be a human example of where that speech pointed or if he s looking at the current reality of this country and feeling like we re totally fucked,anger
"Re: Alexander Skarsgard, my roommate has declared: ""He's a sexy albino lizard. i dont know how that's sexy, but it kinda is.""",neutral
i feel i told her i didnt want to because i dont want you guys to think im needy or annoying,sadness
i would feel less jealous when a was comforting n whilst i was with d,anger
i feel privileged to have been given the opportunity to explore libraries in another country and also experience being a participant in a group of people from different cultures,joy
Let's go for the sweep!! #Yankees #SubwaySeries,neutral
i feel like my days are devoted to trying to show her that we are meant to be,love
i could feel my heart literally drop i was stunned for a moment but i felt this tinge of happiness in me too when i saw your name on my inbox,surprise
i laid the thick mattress pad on the king size bed only to start feeling a little apprehensive about my count sheets,fear
What now bitch I've got you're girlfriend @owne1235 http://t.co/cydgooP9YZ,offensive
i was helping them remove stitches and cutting off pieces of cloth in an furious attempt to feel useful,joy
RT @ahmiryoung Lakers on....I thought trash day was Monday,neutral
i omitted a fifth point on which i personally feel most strongly the vile issue of torture or in iraq read abuse,anger
bitch you're white stfu with your shitty Spanish,hate
i am feeling a little hostile after all j,anger
i have days where i feel rotten but im learning to accept these as part of the process even though i dont necessarily do this at the time its a bit hard when one is suicidal,sadness
i feel a dull pain in my hand and curse my mom the bees weren t sleeping at all,sadness
i feel like i could use therapy but im so disillusioned with it i dont even know where to start,sadness
i guess i have so many gaps that i am tired of feeling bashful about them,fear
i see it i feel the strange sensation of things rushing at me but i actually want to step off this cliff,surprise
i see it as when this red comet approaches earth it disrupts our gravitational force and i also see the core of the earth having what feels like a violent reaction as this comet passes by,anger
i can t help feel sympathetic towards them and their ideology,love
@NOT_UR_BRO @niccol3_xo lmao nigga shoulda said I would be balless bc dat cold bitch wont stop blowin me#swaagg,hate
i feel amazed at how many budding business people say they will hate sales,surprise
i realized that i needed to let myself feel frightened and angry,fear
@pombuenaa I'm surprised you could read it with slits for eyes,hate
i started to feel a little funny,surprise
i feel distressed that i m required to wear a sports bra because i want to feel it against every inch i can,fear
i mentioned above jake s birthday is right around the corner and to be honest i m feeling a little overwhelmed,surprise
